,0
0,47.805374
1,47.929806
2,48.05387
3,48.1785
4,48.306683
5,48.436794
6,48.56964
7,48.702938
8,48.83767
9,48.974205
10,49.111244
11,49.24551
12,49.37849
13,49.509594
14,49.638855
15,49.763508
16,49.88044
17,49.989918
18,50.097473
19,50.19874
20,50.295525
21,50.386322
22,50.47649
23,50.55923
24,50.63895
25,50.719128
26,50.80355
27,50.89511
28,50.990135
29,51.08397
30,51.17388
31,51.266163
32,51.359985
33,51.457775
34,51.555935
35,51.656155
36,51.75926
37,51.87111
38,51.982563
39,52.09058
40,52.19549
41,52.292175
42,52.38942
43,52.486263
44,52.583344
45,52.680256
46,52.782593
47,52.887486
48,52.99783
49,53.101597
50,53.20522
51,53.319687
52,53.43959
53,53.559643
54,53.677334
55,53.792595
56,53.91719
57,54.040684
58,54.164944
59,54.28453
60,54.4017
61,54.516006
62,54.626152
63,54.72976
64,54.828884
65,54.917057
66,55.002113
67,55.0803
68,55.156616
69,55.223248
70,55.287834
71,55.352726
72,55.420685
73,55.489334
74,55.564735
75,55.645462
76,55.730858
77,55.81819
78,55.91043
79,56.0118
80,56.120495
81,56.24387
82,56.36988
83,56.49946
84,56.628883
85,56.75694
86,56.88353
87,57.005146
88,57.121323
89,57.22777
90,57.33391
91,57.436142
92,57.53867
93,57.6326
94,57.730247
95,57.831413
96,57.93605
97,58.043118
98,58.152637
99,58.264156
100,58.378765
101,58.496765
102,58.619514
103,58.74752
104,58.87541
105,59.01403
106,59.15371
107,59.291462
108,59.425465
109,59.554146
110,59.67761
111,59.79013
112,59.892265
113,59.98081
114,60.06402
115,60.1359
116,60.20449
117,60.261364
118,60.31615
119,60.372208
120,60.436596
121,60.505363
122,60.581512
123,60.661728
124,60.743
125,60.828526
126,60.919037
127,61.015472
128,61.11045
129,61.2197
130,61.333076
131,61.45025
132,61.56297
133,61.66777
134,61.76858
135,61.86475
136,61.957188
137,62.03997
138,62.121094
139,62.199543
140,62.27965
141,62.35021
142,62.42644
143,62.501747
144,62.579033
145,62.660114
146,62.748646
147,62.847244
148,62.957336
149,63.076717
150,63.201324
151,63.333435
152,63.470795
153,63.622517
154,63.774075
155,63.9224
156,64.067314
157,64.20242
158,64.32975
159,64.44515
160,64.54879
161,64.63624
162,64.71203
163,64.78283
164,64.860085
165,64.92994
166,65.00108
167,65.071075
168,65.146
169,65.22347
170,65.30727
171,65.39879
172,65.4992
173,65.6083
174,65.72352
175,65.85317
176,65.98905
177,66.14333
178,66.30356
179,66.46512
180,66.62569
181,66.78226
182,66.93521
183,67.08498
184,67.2322
185,67.368225
186,67.50551
187,67.64049
188,67.78067
189,67.91367
190,68.05351
191,68.1992
192,68.34894
193,68.50492
194,68.67215
195,68.84796
196,69.0276
197,69.20634
198,69.38988
199,69.58014
200,69.77385
201,69.97798
202,70.1802
203,70.37632
204,70.56925
205,70.751076
206,70.92384
207,71.086
208,71.23813
209,71.37702
210,71.50842
211,71.627
212,71.74068
213,71.83365
214,71.92452
215,72.00876
216,72.09189
217,72.17787
218,72.273506
219,72.373436
220,72.47819
221,72.586685
222,72.69975
223,72.82193
224,72.953575
225,73.102
226,73.255646
227,73.409035
228,73.56078
229,73.706024
230,73.84619
231,73.97888
232,74.10153
233,74.2101
234,74.31371
235,74.40602
236,74.498405
237,74.578514
238,74.65835
239,74.73594
240,74.81384
241,74.88248
242,74.95088
243,75.02629
244,75.10568
245,75.187065
246,75.277245
247,75.38553
248,75.506714
249,75.64553
250,75.78628
251,75.927
252,76.06363
253,76.19193
254,76.31191
255,76.42217
256,76.52336
257,76.61003
258,76.68942
259,76.75483
260,76.815254
261,76.86154
262,76.90976
263,76.95966
264,77.00673
265,77.06127
266,77.12654
267,77.20149
268,77.28613
269,77.38429
270,77.49474
271,77.61864
272,77.7491
273,77.901665
274,78.05749
275,78.21319
276,78.36172
277,78.499825
278,78.63125
279,78.75714
280,78.87933
281,78.99384
282,79.10458
283,79.201164
284,79.2968
285,79.37415
286,79.45247
287,79.52563
288,79.595924
289,79.66739
290,79.74075
291,79.82172
292,79.91248
293,80.01074
294,80.1161
295,80.238075
296,80.363495
297,80.5038
