,Preducciones
0,44.95246552223173
1,45.05451547379196
2,45.259156858339466
3,45.36057261735241
4,45.50934792665269
5,45.568800356661576
6,45.848184589896036
7,45.8932721582569
8,45.995874822676306
9,46.03192647605208
10,46.227086983010935
11,46.264861039685854
12,46.54289615413795
13,46.564749671499946
14,46.734574880913726
15,46.80730982620108
16,47.0152806465031
17,47.03353055269262
18,47.4607914356121
19,47.58681477515715
20,47.74465332684246
21,47.7970303950403
22,48.05562453791513
23,48.167522657684884
24,48.5685291116385
25,48.58336884320466
26,48.547925484807436
27,48.55834504175893
28,48.7321684181999
29,48.889525596650586
30,49.16099307425682
31,49.20944908791216
32,49.24709257919016
33,49.28884347456859
34,49.361241212687574
35,49.36263473914316
36,49.24714084058759
37,49.24714084058759
38,49.403135043666126
39,49.454872625227026
40,49.82018533453642
41,49.89952475469585
42,50.18518568466703
43,50.24799501252474
44,50.350686601082
45,50.35495469029598
46,50.40709918807112
47,50.40874254654142
48,51.000977287099225
49,51.09983707162549
50,51.01949966948635
51,51.04050203805578
52,51.16217833162695
53,51.29230076048965
54,51.46434226091951
55,51.4094923660592
56,51.54015825013933
57,51.57382193425874
58,51.70550847990183
59,51.75640299907634
60,51.992857901724584
61,51.9809270955036
62,52.08752726902042
63,52.111772242148625
64,52.33067119397777
65,52.39893529887318
66,52.756569374712896
67,52.78114072247935
68,52.937127077370285
69,53.018969403327475
70,53.16981147225362
71,53.167309266693294
72,53.5604922753551
73,53.581991557082084
74,53.66957393223301
75,53.71483121540568
76,53.90202520237427
77,53.95489789377313
78,54.08638542859519
79,54.09692266691624
80,53.92399073358424
81,53.95113681460836
82,53.9554781153522
83,53.99632675063327
84,54.084131889426224
85,54.09039517415096
86,54.212252066869226
87,54.32788193871118
88,54.495778377624084
89,54.50305186956251
90,54.86922867204535
91,54.899726568798584
92,55.186060737552445
93,55.21988972783631
94,55.30458653674067
95,55.35779596387731
96,55.77895912208324
97,55.877710762632134
98,56.03202898048306
99,56.13579539325179
100,56.24689228400705
101,56.27240649183946
102,56.36293659983434
103,56.415721221886095
104,56.281819550850905
105,56.28418188156584
106,56.32616505725656
107,56.37796537484396
108,56.55573594170145
109,56.58101184424243
110,56.76581241719747
111,56.86242449067351
112,57.19396931765167
113,57.18511575801982
114,57.78770695125168
115,57.8264678249579
116,58.125774090445496
117,58.19812046859407
118,58.254484850567394
119,58.20455989201238
120,58.36878332110745
121,58.37685461771723
122,58.45578547467884
123,58.55582189158161
124,58.70702141844471
125,58.7323335848348
126,58.934074555680354
127,59.02652664765595
128,58.873923191793295
129,58.845492334415766
130,58.7914332971094
131,58.80148874429784
132,59.01624325627586
133,59.04425448911857
134,59.07983450523936
135,59.09165133936435
136,59.22717452249105
137,59.25143503726886
138,59.53780028932124
139,59.50438056247321
140,59.87002376832524
141,59.89613373938608
142,60.141096037327806
143,60.217286383437994
144,60.60197847095538
145,60.64006587318594
146,60.69472067372064
147,60.690555511670276
148,60.726363471982864
149,60.752934511977244
150,60.80231033225158
151,60.812158557447674
152,60.62170600464606
153,60.61018964241015
154,60.64213809311136
155,60.64369743860518
156,60.91443815241987
157,60.91166655826965
158,61.04339757893253
159,61.127964874091695
160,61.53946630689509
161,61.63716629583174
162,62.13393439801896
163,62.047191271938075
164,62.34810350786743
165,62.41458032307747
166,62.58368901064634
167,62.623232147374296
168,63.02073573458105
169,63.06998204111018
170,63.159082317356145
171,63.20791417990047
172,63.27167638700754
173,63.3213785819204
174,63.25165356197758
175,63.27670670087676
176,63.02621157573421
177,62.99070926786058
178,63.02245049656946
179,63.0681015015279
180,63.363123452319215
181,63.414493784271926
182,63.59633108273333
183,63.64540125056892
184,63.95495464358809
185,63.97943274145773
186,64.48569679145331
187,64.50007799773626
188,64.74727829319728
189,64.7541943271988
190,64.84291642330862
191,64.95477485488617
192,65.38489518371968
193,65.39732850327277
194,65.55993042027568
195,65.66188364060977
196,65.91535240134536
197,65.95956321345575
198,66.15682300871265
199,66.19143944256797
200,66.09259455212198
201,66.15441923359894
202,66.3364637540529
203,66.36074499102978
204,66.79998308753544
205,66.82581330890667
206,67.05641512276492
207,67.12020841317091
208,67.50415450151478
209,67.57512803396298
210,68.18433478930645
211,68.34554831895952
212,68.76964366835975
213,68.91428461915868
214,69.17959093621856
215,69.14634734806413
216,69.49584796069713
217,69.48021824190907
218,69.5888491909528
219,69.63088417214108
220,69.90873778085023
221,69.97853014794063
222,70.2037545510919
223,70.23588950158646
224,70.06902399208653
225,70.08393361445026
226,70.14594997627043
227,70.16927281153171
228,70.39150803744063
229,70.46698864822626
230,70.48495997553023
231,70.5416766348906
232,70.7721955599515
233,70.80750618748206
234,71.16327008483948
235,71.20109845957909
236,71.31703398386006
237,71.35876849315927
238,71.6598516872329
239,71.71946427393935
240,72.55066276935109
241,72.68362676086996
242,72.84795898151103
243,73.09848518995243
244,73.41908869572387
245,73.47460346752767
246,73.20472272498199
247,73.1569995000981
248,72.8631690757637
249,72.82329438384744
250,72.79315912558113
251,72.86173406346512
252,73.05058069312292
253,73.05962075254816
254,73.18450826690722
255,73.2577767829227
256,73.50070312478749
257,73.51509469217002
258,74.06543481268208
259,74.15690778074293
260,74.54776472253877
261,74.58242778134222
262,74.7447810319541
263,74.91099379217736
264,75.34558867720412
265,75.43134353026034
266,75.53874181140698
267,75.60942664823615
268,75.70685588076203
269,75.74783640843796
270,75.5617374842238
271,75.59676062263355
272,75.2304826011179
273,75.15734869884004
274,75.17405643367984
275,75.25407927159081
276,75.52165094056134
277,75.56931756716142
278,75.6454188953664
279,75.66126269607554
280,75.76820271650928
281,75.80629845543591
282,76.50473285654193
283,76.61560941162318
