,Preducciones
0,45.037533097905786
1,45.12743424570883
2,45.27606187825564
3,45.37083130269057
4,45.50612737051383
5,45.551269593675045
6,45.96256476806772
7,46.00228476876658
8,45.98885393434674
9,46.01589267437858
10,46.221916022394886
11,46.25861082030769
12,46.51988442125405
13,46.532459496191414
14,46.70380168974325
15,46.781901343029105
16,46.98718119407756
17,47.00865167194759
18,47.48187571385454
19,47.571139705836124
20,47.71608888898784
21,47.76264628294147
22,48.08499982506546
23,48.21454644099685
24,48.56951594524751
25,48.581829765057726
26,48.54993991673589
27,48.56256968273769
28,48.73538936218924
29,48.87771979709659
30,49.10758587963093
31,49.16635509355023
32,49.19507606689799
33,49.23810140343334
34,49.299960608093734
35,49.30208894373492
36,49.24390692476053
37,49.24390692476053
38,49.38988394557304
39,49.46734249200472
40,49.816562561805156
41,49.91037389794785
42,50.162351929571976
43,50.2239686171543
44,50.329510482052484
45,50.34439749131643
46,50.38623020311784
47,50.38818500070127
48,50.854880617344264
49,50.946438183783386
50,50.86287161543163
51,50.90326046655576
52,51.02491665441312
53,51.155508378922335
54,51.476862717320266
55,51.43507019104346
56,51.533120452495226
57,51.57206560871926
58,51.69111394924485
59,51.761574327511354
60,51.96323033733992
61,51.94660595298772
62,52.07680353090602
63,52.09680563373679
64,52.34819699399756
65,52.398873132275384
66,52.7798093211772
67,52.80558773705027
68,52.952990164385675
69,53.04766989278129
70,53.214094812061255
71,53.21674725356556
72,53.579251046230574
73,53.61296606441832
74,53.65483526801297
75,53.70357388066046
76,53.91905885016175
77,53.96946559984929
78,54.08289891857057
79,54.090162049409344
80,53.92774663219919
81,53.952385327113454
82,53.96101094255322
83,53.99636301448192
84,54.02528707056327
85,54.03026557893421
86,54.114283735813075
87,54.216449358689154
88,54.39864929563777
89,54.406124829018935
90,54.832861212353095
91,54.86991250462065
92,55.17085582384915
93,55.232644241477686
94,55.287946610739006
95,55.350636444034734
96,55.80324553960995
97,55.906157161659266
98,56.06354226499988
99,56.16211258630549
100,56.26010786658184
101,56.280866329685274
102,56.34977800330745
103,56.39819024131647
104,56.25780770246425
105,56.254222761992985
106,56.31125543489271
107,56.35831554940053
108,56.54095583308295
109,56.571163619046565
110,56.77943208265774
111,56.86037817349711
112,57.11070752104563
113,57.10624706765583
114,57.82908400261382
115,57.82908400261381
116,58.119604055617344
117,58.18013878019065
118,58.23252449990706
119,58.19463395856933
120,58.36201234250091
121,58.37392760707247
122,58.4411918658536
123,58.552356103756246
124,58.6911844776642
125,58.71550197849
126,58.90298089569843
127,58.98940800824067
128,58.85467744923536
129,58.81262174584774
130,58.76844719758597
131,58.800504439833254
132,59.041078812082766
133,59.04904131714644
134,59.07731157748005
135,59.097914624089114
136,59.245182113643494
137,59.28568883263718
138,59.58099053311821
139,59.547845375410304
140,59.87328233415811
141,59.92662645558967
142,60.17500273585858
143,60.24528725518115
144,60.59668394904578
145,60.64565050588517
146,60.694523812827725
147,60.69132223304272
148,60.713950874629255
149,60.75159274957553
150,60.82656048592963
151,60.82857053925753
152,60.624803973434645
153,60.61445841545665
154,60.64211219036233
155,60.64166148252841
156,60.92144743631787
157,60.93312439559807
158,61.03204181374085
159,61.13478765819638
160,61.49321953870802
161,61.60877688285251
162,62.123334993100116
163,62.04205734707268
164,62.3101041749838
165,62.385817910511726
166,62.58282385882744
167,62.568137000105395
168,63.008918900456
169,63.05960539983332
170,63.143955111900084
171,63.19821619064917
172,63.28625445418333
173,63.329019892895616
174,63.21103805143804
175,63.259818108484026
176,63.01413571411843
177,62.996350886607736
178,63.01533760167521
179,63.06111812037902
180,63.35851276298501
181,63.422378581088395
182,63.552607242305584
183,63.60566643349772
184,63.96159092789942
185,63.99302132361909
186,64.4456666830427
187,64.42644166268407
188,64.84303039540424
189,64.89912020823749
190,64.90796340676962
191,64.98003003522804
192,65.36809984122362
193,65.38146565974321
194,65.54484983976796
195,65.66762887035321
196,65.90085204241673
197,65.95806603455962
198,66.15539835751383
199,66.18931023659448
200,66.10740574403937
201,66.16723073328825
202,66.33854633507802
203,66.35774545268764
204,66.84668574410608
205,66.87868081975569
206,67.08306905155649
207,67.14704884175579
208,67.41888265158103
209,67.52213618991847
210,68.14460515278508
211,68.26073753795916
212,68.86320439799549
213,68.95278646537419
214,69.18210868342805
215,69.23066597683217
216,69.3520514395178
217,69.34882913753356
218,69.4370435397615
219,69.48477194519502
220,69.73906441335136
221,69.79542879532465
222,70.14655610059867
223,70.17374880657094
224,70.00459867460316
225,70.02344551482533
226,70.08738386062637
227,70.11359744268373
228,70.39734133653086
229,70.43744397263866
230,70.52762180324618
231,70.58313139449996
232,70.78460815730509
233,70.80484338487781
234,71.22587184878842
235,71.21625156778424
236,71.39724961717569
237,71.45081650224941
238,71.66638436054798
239,71.7179411922941
240,72.3728870219436
241,72.49995554777446
242,72.87657115813221
243,73.06399826984251
244,73.381819820364
245,73.43142876538015
246,73.22173565057022
247,73.19847469847882
248,72.772167537736
249,72.75663624939432
250,72.79231987651129
251,72.81485008765095
252,72.95614958382004
253,72.99653196961823
254,73.11848729278279
255,73.17424036987809
256,73.42860018518176
257,73.44385172383336
258,74.08133910061018
259,74.15473713037096
260,74.4787649795698
261,74.5137336908123
262,74.68768619245714
263,74.87299445929375
264,75.32220986838148
265,75.40683033836179
266,75.53802061421966
267,75.60621131077599
268,75.68616653645049
269,75.72128733697934
270,75.57930915319429
271,75.59467966824927
272,75.22950597992676
273,75.1384247851433
274,75.1405883767053
275,75.22008534166713
276,75.51033715968511
277,75.56224081976073
278,75.64391640122612
279,75.66939118937444
280,75.76296652443045
281,75.81692860147835
282,76.6033640843801
283,76.644216900054
284,77.14828865917417
285,77.15942965322427
286,77.52884037502255
287,77.57574824208189
288,78.31438187391072
289,78.43268826251568
290,78.51014183544689
291,78.4921795179998
292,78.5228454234029
293,78.54626179457901
294,78.26905162569871
295,78.29671254282104
296,78.04224262275372
297,78.15516256986588
298,78.42115661998913
299,78.40307410301088
300,78.86995161968875
301,78.88972444257473
302,79.06519322074652
303,79.13280545705867
304,79.3186339323278
305,79.41386952340893
306,79.9550754252059
307,80.00770779493969
308,80.39530620830584
309,80.37046246769636
310,80.49935392751969
311,80.53628523348756
312,80.95835086243167
313,81.09886411442987
314,81.22916791874513
315,81.22219634593418
316,81.6376510006611
317,81.77603822345083
318,81.89872438247477
319,81.88680960394248
320,81.70438427790143
321,81.70632249534238
322,81.6566124767115
323,81.63860508444014
324,81.69971152112497
325,81.70157461385887
326,81.81409640002389
327,81.85437826792457
328,82.03177775106664
329,82.06873159444683
330,82.69930584770725
331,82.68200462768205
332,83.30170082336683
333,83.36609020974835
334,83.48650009014962
335,83.60833733998449
336,84.56707885089241
337,84.62690065508735
338,84.70988340645462
339,84.76536300258418
340,84.90303654065741
341,84.93989272191831
342,84.7608555201634
343,84.74676212512766
344,84.56598203017008
345,84.60460364204572
346,84.66407236011764
347,84.67757978243876
348,84.9680419496365
349,85.0123354768917
350,85.24320121401516
351,85.31353296472135
352,85.47574223210526
353,85.53004237033468
354,86.16278021515733
355,86.17537862852345
356,86.60546006370586
357,86.63779373760448
358,87.04500721197192
359,87.08751277120012
360,87.12123625217869
361,87.1430524670955
362,87.26954744876484
363,87.32687511268698
364,87.44539936294241
365,87.6068498707855
366,87.37122873970786
367,87.35593334935989
368,87.01152413005585
369,87.04462407596607
370,87.09661788569028
371,87.12409099104514
372,87.2047523889656
373,87.2469874992488
374,87.31881423162464
375,87.39624526714351
376,87.62347496844762
377,87.62516527435551
378,88.30830428511317
379,88.35404771921391
380,88.67440200733223
381,88.65211250676118
382,88.80468327423515
383,88.95599945910197
384,89.25043236428408
385,89.40286039481478
386,89.59530735677158
387,89.58133416126702
388,89.6340942430027
389,89.66907981905888
390,89.59103611995914
391,89.55601298154936
392,89.24102259751191
393,89.29382775407184
394,89.34207284091588
395,89.35247010036669
396,89.6195008714465
397,89.62522537412102
398,89.80686940320922
399,89.7658513131799
400,90.21388755333852
401,90.29297133241184
402,91.07183424484656
403,91.03749474127058
404,91.54603642045795
405,91.62258098443417
406,91.71161878718678
407,91.77548230061907
408,93.69222910030632
409,93.742803053068
410,94.01957749864779
411,94.13369192860142
412,94.54834274896334
413,94.66043632429833
414,94.80115992547633
415,94.92137448163956
416,94.7150144239438
417,94.79891369673663
418,94.91225434220806
419,94.93693280846205
420,95.39677114009254
421,95.55895035759372
422,95.76793978003491
423,95.7888544984674
424,96.05710980227158
425,95.97919796862777
426,96.78930524670959
427,97.00276458921817
428,97.71693761644333
429,97.72678646553271
430,97.90042220085344
431,98.05443536270215
432,98.80602800649085
433,98.976275617525
434,99.14997145261121
435,99.18414568183171
436,99.41266001562587
437,99.441162329467
438,99.14099405012315
439,99.14187300919531
440,99.00269697698188
441,99.12443656469745
442,99.26086303263413
443,99.34945008714469
444,100.01630866278029
445,100.16347342929261
446,100.4678394945609
447,100.58344949456085
448,100.74527898912181
449,100.79893898912187
450,101.68019
451,101.73061000000001
452,102.31734999999988
453,102.41912999999994
454,102.89421000000013
455,102.85694000000011
456,103.1284799999998
457,103.15555999999988
458,103.06421999999995
459,103.11965999999988
460,103.38873000000007
461,103.47054000000009
462,103.46094000000008
463,103.44260287457176
464,103.30035000000002
465,103.25908000000013
466,103.24707000000014
467,103.31642999999994
468,103.68031000000012
469,103.70670999999999
470,103.69763999999986
471,103.73574000000008
472,103.88385000000011
473,103.92012999999986
474,104.62446000000007
475,104.71565000000005
476,105.37584000000011
477,105.37067000000006
478,105.58382000000009
479,105.7896499999999
480,106.52873000000007
481,106.54176
482,106.71233000000012
483,106.88438999999993
484,107.02227000000006
485,106.67314
486,105.7776200000001
487,105.91344000000001
488,106.14524999999999
489,106.25011999999997
490,106.53369000000006
491,106.72231000000002
492,107.52358999999984
493,107.57062999999984
494,107.77904000000002
495,107.92297000000003
496,108.08803999999984
497,108.07932999999989
498,108.76410999999987
499,108.86162999999989
500,108.8889799999999
501,108.86500999999997
502,109.0393499999999
503,109.00814999999993
504,95.04390834344018
505,95.04447834344019
506,95.03981834344016
507,94.99141834344019
508,95.10337845338432
509,95.10337845338432
510,94.5828498061729
511,94.57983074072426
512,94.51589980617291
