,0
0,45.25
1,45.25
2,45.75
3,45.75
4,46.5
5,46.5
6,44.25
7,44.25
8,44.5
9,44.5
10,45.0
11,45.0
12,42.25
13,42.25
14,42.0
15,42.0
16,42.0
17,42.0
18,48.25
19,48.25
20,48.25
21,48.25
22,48.25
23,48.25
24,45.5
25,45.5
26,45.5
27,45.5
28,44.5
29,44.5
30,48.5
31,48.5
32,49.0
33,49.0
34,48.5
35,48.5
36,43.0
37,43.0
38,43.0
39,43.0
40,43.0
41,43.0
42,47.5
43,47.5
44,47.5
45,47.5
46,47.0
47,47.0
48,49.0
49,49.0
50,49.0
51,49.0
52,49.5
53,49.5
54,52.5
55,52.5
56,52.5
57,52.5
58,52.5
59,52.5
60,53.5
61,53.5
62,54.0
63,54.0
64,53.5
65,53.5
66,54.0
67,54.0
68,54.5
69,54.5
70,54.5
71,54.5
72,52.75
73,52.75
74,53.0
75,53.0
76,53.0
77,53.0
78,52.5
79,52.5
80,52.5
81,52.5
82,52.5
83,52.5
84,52.5
85,52.5
86,52.75
87,52.75
88,52.75
89,52.75
90,57.0
91,57.0
92,56.75
93,56.75
94,57.0
95,57.0
96,53.5
97,53.5
98,53.5
99,53.5
100,53.5
101,53.5
102,50.5
103,50.5
104,51.5
105,51.5
106,51.5
107,51.5
108,55.5
109,55.5
110,55.5
111,55.5
112,54.5
113,54.5
114,57.5
115,57.5
116,58.5
117,58.5
118,58.5
119,58.5
120,57.75
121,57.75
122,57.75
123,57.75
124,57.75
125,57.75
126,58.25
127,58.25
128,57.75
129,57.75
130,57.25
131,57.25
132,55.25
133,55.25
134,55.75
135,55.75
136,56.75
137,56.75
138,59.75
139,59.75
140,58.75
141,58.75
142,58.75
143,58.75
144,59.5
145,59.5
146,59.0
147,59.0
148,59.0
149,59.0
150,60.0
151,60.0
152,61.0
153,61.0
154,61.0
155,61.0
156,61.0
157,61.0
158,61.0
159,61.0
160,59.0
161,59.0
162,62.5
163,62.5
164,63.0
165,63.0
166,64.0
167,64.0
168,61.5
169,61.5
170,62.5
171,62.5
172,62.5
173,62.5
174,62.5
175,62.5
176,62.5
177,62.5
178,62.5
179,62.5
180,67.5
181,67.5
182,67.5
183,67.5
184,67.5
185,67.5
186,62.5
187,62.5
188,63.5
189,63.5
190,63.5
191,63.5
192,68.75
193,68.75
194,68.75
195,68.75
196,68.75
197,68.75
198,69.75
199,69.75
200,70.25
201,70.25
202,71.25
203,71.25
204,69.75
205,69.75
206,69.75
207,69.75
208,69.25
209,69.25
210,72.75
211,72.75
